metabolite,name
thf_c,"5,6,7,8-Tetrahydrofolate"
man6p_e,D-Mannose 6-phosphate
orot5p_c,Orotidine 5'-phosphate
feoxam_c,Generic ferrioxamine-Fe-III
h_e,H+
csn_p,Cytosine
aact_c,Aminoacetone
gln__L_p,L-Glutamine
glyc_p,Glycerol
cytd_p,Cytidine
thr__L_p,L-Threonine
asn__L_e,L-Asparagine
fuc__L_p,L-Fucose
5caiz_c,5-phosphoribosyl-5-carboxyaminoimidazole
dhnpt_c,Dihydroneopterin
pyam5p_c,Pyridoxamine 5'-phosphate
ttdca_p,Tetradecanoate (n-C14:0)
acgam_c,N-Acetyl-D-glucosamine
metsox_S__L_p,L-Methionine Sulfoxide
mal__L_p,L-Malate
pacald_p,Phenylacetaldehyde
eca4colipa_p,(enterobacterial common antigen)x4 core oligosaccharide lipid A
lcts_e,Lactose C12H22O11
btcoa_c,Butanoyl-CoA
tmao_p,Trimethylamine N-oxide
u3hga_c,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
tdcoa_c,Tetradecanoyl-CoA (n-C14:0CoA)
udpglcur_e,UDP-D-glucuronate
hxa_p,Hexanoate (n-C6:0)
murein3px3p_p,"Two disacharide linked murein units, tripeptide crosslinked tripeptide (A2pm->A2pm) (middle of chain)"
3hcpalm9eACP_c,(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein]
dca_e,Decanoate (n-C10:0)
mobd_p,Molybdate
malt6p_c,Maltose 6'-phosphate
met__L_p,L-Methionine
g1p_p,D-Glucose 1-phosphate
ser__L_p,L-Serine
3ocpalm9eACP_c,3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]
2ddecg3p_c,2-dodecanoyl-sn-glycerol 3-phosphate
anhgm3p_c,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide
1agpe161_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)
octa_p,Octanoate (n-C8:0)
ggagicolipa_c,Glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A
chtbs_e,"N,N'-diacetylchitobiose"
dopa_e,Dopamine
ppa_p,Propionate (n-C3:0)
msa_c,Malonate semialdehyde
pser__L_p,O-Phospho-L-serine
slnt_c,Selenite
isetac_e,Isethionic acid
fe3dhbzs_p,"Ferric 2,3-dihydroxybenzoylserine"
cpgn_c,Coprogen
butACP_c,Butyryl-ACP (n-C4:0ACP)
metglcur_e,1-O-methyl-Beta-D-glucuronate
cu_e,Cu+
dgsn_c,Deoxyguanosine
1hdec9eg3p_c,1-hexadec-9-enoyl-sn-glycerol 3-phosphate
cdpdtdecg_c,"CDP-1,2-ditetradecanoylglycerol"
pe181_c,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)"
dttp_c,DTTP C10H13N2O14P3
pe120_c,"Phosphatidylethanolamine (didodecanoyl, n-C12:0)"
but_c,Butyrate (n-C4:0)
pe160_p,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)"
pg160_p,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)"
2agpg160_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)
glutrna_c,L-Glutamyl-tRNA(Glu)
pa120_p,"1,2-didodecanoyl-sn-glycerol 3-phosphate"
adn_e,Adenosine
3otdcoa_c,3-Oxotetradecanoyl-CoA
ddcap_c,Dodecanoly-phosphate (n-C12:0)
3hhdcoa_c,(S)-3-Hydroxyhexadecanoyl-CoA
octdp_c,All-trans-Octaprenyl diphosphate
hdcap_c,Hexadecanoyl-phosphate (n-C16:0)
cinnm_c,Trans-Cinnamate
hx2coa_c,Trans-Hex-2-enoyl-CoA
egmeACP_c,Enoylglutaryl-[acyl-carrier protein] methyl ester
uacmam_c,UDP-N-acetyl-D-mannosamine
arbt6p_c,Arbutin 6-phosphate
cph4_c,"6-carboxy-5,6,7,8-tetrahydropterin"
ttdca_c,Tetradecanoate (n-C14:0)
glycogen_c,Glycogen C6H10O5
iscu_2fe2s2_c,IscU with two bound [2Fe-2S] clusters
ahcys_c,S-Adenosyl-L-homocysteine
pydx_c,Pyridoxal
tma_p,Trimethylamine
fe3dcit_e,Fe(III)dicitrate
thmnp_c,Tetrahydromonapterin
fe3hox_un_c,"Fe(III)hydoxamate, unloaded"
lac__D_e,D-Lactate
trdox_c,Oxidized thioredoxin
2mcacn_c,Cis-2-Methylaconitate
damp_e,DAMP C10H12N5O6P
5mtr_c,5-Methylthio-D-ribose
o16a4und_p,(O16 antigen)x4 undecaprenyl diphosphate
aconm_c,E-3-carboxy-2-pentenedioate 6-methyl ester
adn_p,Adenosine
3ig3p_c,C'-(3-Indolyl)-glycerol 3-phosphate
asn__L_p,L-Asparagine
n2o_c,Nitrous oxide
sl26da_c,"N-Succinyl-LL-2,6-diaminoheptanedioate"
hg2_e,Mercury  charged 2  Hg
dgsn_p,Deoxyguanosine
3hoctACP_c,(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]
dctp_c,DCTP C9H12N3O13P3
toctd2eACP_c,Trans-octadec-2-enoyl-[acyl-carrier protein]
manglyc_p,2(alpha-D-Mannosyl)-D-glycerate
dms_p,Dimethyl sulfide
din_c,Deoxyinosine
h2s_p,Hydrogen sulfide
dsbcox_p,Protein disulfide isomerase II (oxidized)
ichor_c,Isochorismate
clpn160_p,"Cardiolipin (tetrahexadecanoyl, n-C16:0)"
clpn181_p,"Cardiolipin (tetraoctadec-11-enoyl, n-C18:1)"
feoxam_e,Generic ferrioxamine-Fe-III
lipoate_e,Lipoate
pacald_c,Phenylacetaldehyde
arbt_p,Arbutin C12H16O7
cpppg3_c,Coproporphyrinogen III
ttdceap_c,Tetradecanoyl-phosphate (n-C14:1)
cpmp_c,Cyclic pyranopterin monophosphate
isetac_c,Isethionic acid
anhgm4p_c,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide
3ohcoa_c,3-Oxohexanoyl-CoA
gggagicolipa_c,Glucosyl-glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A
doxrbcn_e,Doxorubicin
dxylnt_p,D-Xylonate
ser__D_e,D-Serine
2hptcoa_c,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA"
grxrd_c,Glutaredoxin (reduced)
so2_e,Sulfur dioxide
ohpb_c,2-Oxo-3-hydroxy-4-phosphobutanoate
cys__D_c,D-Cysteine
pa161_c,"1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate"
ru5p__D_c,D-Ribulose 5-phosphate
23dhmb_c,"(R)-2,3-Dihydroxy-3-methylbutanoate"
amp_e,AMP C10H12N5O7P
galur_c,D-Galacturonate
arab__L_e,L-Arabinose
pgp140_c,"Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)"
o2s_c,Superoxide anion
pgp161_c,"Phosphatidylglycerophosphate (dihexadec-9-enoyl, n-C16:1)"
ps180_c,"Phosphatidylserine (dioctadecanoyl, n-C18:0)"
lald__L_c,L-Lactaldehyde
ugmd_c,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate"
6hmhpt_c,6-hydroxymethyl dihydropterin
ppcoa_c,Propanoyl-CoA
pe141_c,"Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)"
cpg160_c,"Cyclopropane phosphatidylglycerol (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)"
fecrm_c,Ferrichrome
adocbi_c,Adenosyl cobinamide
ile__L_p,L-Isoleucine
acac_c,Acetoacetate
crn__D_e,D-Carnitine
acmanap_c,N-Acetyl-D-mannosamine 6-phosphate
nmn_p,NMN C11H14N2O8P
pppn_e,Phenylpropanoate
13ppd_c,"1,3-Propanediol"
hxan_p,Hypoxanthine
pran_c,N-(5-Phospho-D-ribosyl)anthranilate
3hcinnm_e,3-hydroxycinnamic acid
gsn_c,Guanosine
metsox_R__L_p,L-methionine-R-sulfoxide
ins_c,Inosine
tmao_c,Trimethylamine N-oxide
tsul_c,Thiosulfate
23cgmp_p,"2',3'-Cyclic GMP"
man6pglyc_c,2(alpha-D-Mannosyl-6-phosphate)-D-glycerate
ura_c,Uracil
LalaDgluMdap_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate"
chol_e,Choline C5H14NO
gly_e,Glycine
oxam_c,Oxamate
dha_p,Dihydroxyacetone
cgly_p,Cys Gly C5H10N2O3S
LalaDgluMdapDala_c,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine"
8aonn_c,8-Amino-7-oxononanoate
2hdecg3p_c,2-hexadecanoyl-sn-glycerol 3-phosphate
pdx5p_c,Pyridoxine 5'-phosphate
colipa_p,Core oligosaccharide lipid A
23doguln_c,"2,3-Dioxo-L-gulonate"
1agpg160_p,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)
tmao_e,Trimethylamine N-oxide
colipa_e,Core oligosaccharide lipid A
glyc2p_p,Glycerol 2-phosphate
4abzglu_p,4-aminobenzoyl-glutamate
pe141_p,"Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)"
acac_p,Acetoacetate
34dhpha_c,3-4-Dihydroxyphenylacetate
but_p,Butyrate (n-C4:0)
34dhpac_p,"3,4-Dihydroxyphenylacetaldehyde"
lipa_e,KDO(2)-lipid (A)
pe181_p,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)"
12dgr140_p,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)"
2hdecg3p_p,2-hexadecanoyl-sn-glycerol 3-phosphate
glcn_c,D-Gluconate
oxadpcoa_c,3-Oxoadipyl-CoA
enlipa_e,Phosphoethanolamine KDO(2)-lipid (A)
n2o_e,Nitrous oxide
mptamp_c,Adenylated molybdopterin
paps_c,3'-Phosphoadenylyl sulfate
cobalt2_c,Co2+
utp_c,UTP C9H11N2O15P3
cobalt2_p,Co2+
dhor__S_c,(S)-Dihydroorotate
mmet_p,S-Methyl-L-methionine
aso3_e,Arsenite
glyc_e,Glycerol
adn_c,Adenosine
4mop_c,4-Methyl-2-oxopentanoate
gal1p_c,Alpha-D-Galactose 1-phosphate
dsbgox_p,Periplasmic disulfide isomerase/thiol-disulphide oxidase (oxidized)
2me4p_c,2-C-methyl-D-erythritol 4-phosphate
pg140_p,"Phosphatidylglycerol (ditetradecanoyl, n-C14:0)"
dann_c,"7,8-Diaminononanoate"
tre_c,Trehalose
gdpmann_c,GDP-D-mannose
2h3oppan_c,2-Hydroxy-3-oxopropanoate
hpyr_c,Hydroxypyruvate
2agpg181_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)
apg120_c,Acyl phosphatidylglycerol (n-C12:0)
apg160_c,Acyl phosphatidylglycerol (n-C16:0)
dad_2_e,Deoxyadenosine
mchtbs6p_c,N-monoacetylchitobiose 6'-phosphate
fdp_c,"D-Fructose 1,6-bisphosphate"
mthgxl_c,Methylglyoxal
tartr__L_e,L-tartrate
cbi_c,Cobinamide
octa_e,Octanoate (n-C8:0)
thym_e,Thymine C5H6N2O2
gdp_e,GDP C10H12N5O11P2
rmn_c,L-Rhamnose
dtmp_c,DTMP C10H13N2O8P
dmso_p,Dimethyl sulfoxide
fecrm_p,Ferrichrome
gdp_p,GDP C10H12N5O11P2
gdp_c,GDP C10H12N5O11P2
ins_p,Inosine
man_c,D-Mannose
uaagmda_c,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala"
4hoxpacd_e,4-Hydroxyphenylacetaldehyde
acser_p,O-Acetyl-L-serine
k_c,Potassium
o2_p,O2 O2
ala_B_p,Beta-Alanine
cbi_e,Cobinamide
tungs_p,Tungstate
crn_e,L-Carnitine
dtmp_e,DTMP C10H13N2O8P
fe2_c,Fe2+ mitochondria
cdpdodecg_c,"CDP-1,2-dioctadecanoylglycerol"
ps140_c,"Phosphatidylserine (ditetradecanoyl, n-C14:0)"
12dgr160_c,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)"
2tdecg3p_c,2-tetradecanoyl-sn-glycerol 3-phosphate
thm_e,Thiamin
glyald_e,D-Glyceraldehyde
12dgr181_c,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)"
indole_e,Indole
2tdec7eg3p_c,2-tetradec-7-enoyl-sn-glycerol 3-phosphate
dsbcrd_p,Protein disulfide isomerase II (reduced)
bmocogdp_c,Bis-molybdopterin guanine dinucleotide
mg2_e,Magnesium
pgp181_p,"Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)"
mththf_e,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"
dhptdp_c,"(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione"
orot_p,Orotate C5H3N2O4
LalaDglu_p,L-alanine-D-glutamate
cdigmp_c,Cyclic diguanosine monophosphate
uri_c,Uridine
dad_2_c,Deoxyadenosine
datp_c,DATP C10H12N5O12P3
cholate_c,Cholate c
3hhcoa_c,(S)-3-Hydroxyhexanoyl-CoA
34dphacoa_c,"3,4-dihydroxyphenylacetyl-CoA"
puacgam_c,"Poly-?-1,6-N-acetyl-D-glucosamine"
ppi_c,Diphosphate
nadp_c,Nicotinamide adenine dinucleotide phosphate
S2hglut_c,(S)-2-Hydroxyglutarate
glyclt_p,Glycolate C2H3O3
metglcur_p,1-O-methyl-Beta-D-glucuronate
xtsn_p,Xanthosine
glu__L_c,L-Glutamate
g1p_c,D-Glucose 1-phosphate
fum_c,Fumarate
akg_p,2-Oxoglutarate
acorn_c,N2-Acetyl-L-ornithine
frulys_c,Fructoselysine
spmd_c,Spermidine
glu5sa_c,L-Glutamate 5-semialdehyde
ile__L_c,L-Isoleucine
g3pg_e,Glycerophosphoglycerol
2dhp_c,2-Dehydropantoate
ocACP_c,Octanoyl-ACP (n-C8:0ACP)
ttdcea_p,Tetradecenoate (n-C14:1)
3dhq_c,3-Dehydroquinate
hisp_c,L-Histidinol phosphate
aacoa_c,Acetoacetyl-CoA
2agpe160_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
so4_e,Sulfate
hemeO_c,Heme O C49H56FeN4O5
orn_e,Ornithine
kdo2lipid4_p,KDO(2)-lipid IV(A)
4abut_e,4-Aminobutanoate
athtp_c,Adenosine thiamine triphosphate
galt1p_c,Galactitol 1-phosphate
glu__L_e,L-Glutamate
ppa_c,Propionate (n-C3:0)
3ohodcoa_c,3-Oxooctadecanoyl-CoA
2oph_c,2-Octaprenylphenol
taur_c,Taurine C2H7NO3S
ckdo_c,CMP-3-deoxy-D-manno-octulosonate
uamag_c,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
23dhbzs3_c,2-3-dihydroxybenzoylserine trimer
glcr_c,D-Glucarate
dhpt_c,Dihydropteroate
sqg_c,1-(?-D-sulfoquinovosyl)glycerol
gmhep7p_c,D-Glycero-D-manno-heptose 7-phosphate
fad_p,Flavin adenine dinucleotide oxidized
manglyc_e,2(alpha-D-Mannosyl)-D-glycerate
ascb__L_p,L-Ascorbate
od2coa_c,Trans-Octadec-2-enoyl-CoA
idon__L_p,L-Idonate
urea_p,Urea CH4N2O
rhmn_c,L-rhamnonate
cbp_c,Carbamoyl phosphate
agm_p,Agmatine
3mob_c,3-Methyl-2-oxobutanoate
suchms_c,O-Succinyl-L-homoserine
gicolipa_c,Glucosyl-inner core oligosaccharide lipid A
halipa_e,Hepta-acylated KDO(2)-lipid (A)
chol_p,Choline C5H14NO
butso3_c,Butanesulfonate
dcyt_c,Deoxycytidine
3hpppn_p,3-(3-hydroxy-phenyl)propionate
dc2coa_c,Trans-Dec-2-enoyl-CoA
lipoate_p,Lipoate
minohp_p,Myo-Inositol hexakisphosphate
2agpg120_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)
dcmp_p,DCMP C9H12N3O7P
2agpg180_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)
acglc__D_c,6-Acetyl-D-glucose
eca3und_p,(enterobacterial common antigen)x3 undecaprenyl-diphosphate
r5p_p,Alpha-D-Ribose 5-phosphate
1agpe120_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)
ragund_c,Rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
oxa_c,Oxalate
r5p_e,Alpha-D-Ribose 5-phosphate
no_p,Nitric oxide
acser_e,O-Acetyl-L-serine
dxylnt_e,D-Xylonate
murein4p4p_p,"Two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain)"
nalme_c,N-?-acetyl lysine methyl ester
mn2_p,Manganese
tpalm2eACP_c,Trans-Hexadec-2-enoyl-[acyl-carrier protein]
3hpalmACP_c,R-3-hydroxypalmitoyl-[acyl-carrier protein]
12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)"
udpg_c,UDPglucose
gln__L_c,L-Glutamine
pgp160_c,"Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)"
3c3hmp_c,3-Carboxy-3-hydroxy-4-methylpentanoate
apg161_c,Acyl phosphatidylglycerol (n-C16:1)
pe160_c,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)"
tartr__D_e,D-tartrate
anth_c,Anthranilate
enlipa_p,Phosphoethanolamine KDO(2)-lipid (A)
pap_c,"Adenosine 3',5'-bisphosphate"
pg181_p,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)"
xmp_c,Xanthosine 5'-phosphate
r2hglut_c,(R)-2-Hydroxyglutarate
thcur_c,Tetrahydrocurcumin
5phua_c,Phenylureidoacetic acid
ile__L_e,L-Isoleucine
nadhx__R_c,(R)-NADHX
2omhmbl_c,"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol"
uppg3_c,Uroporphyrinogen III
3hocoa_c,(S)-3-Hydroxyoctanoyl-CoA
2cpr5p_c,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
uagmda_c,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"
5dh4dglc_c,5-Dehydro-4-deoxy-D-glucarate
dcmp_c,DCMP C9H12N3O7P
cechddd_c,"Cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol"
25dkglcn_c,"2,5-diketo-D-gluconate"
his__L_e,L-Histidine
dgmp_c,DGMP C10H12N5O7P
hxan_e,Hypoxanthine
adphep_DD_c,ADP-D-glycero-D-manno-heptose
4mhetz_c,4-Methyl-5-(2-hydroxyethyl)-thiazole
h2s_e,Hydrogen sulfide
na1_e,Sodium
tyr__L_e,L-Tyrosine
acac_e,Acetoacetate
2dmmq8_c,2-Demethylmenaquinone 8
4adcho_c,4-amino-4-deoxychorismate
fmn_e,FMN C17H19N4O9P
cys__L_e,L-Cysteine
glyc3p_e,Glycerol 3-phosphate
rib__D_p,D-Ribose
26dap__M_e,"Meso-2,6-Diaminoheptanedioate"
xyl__D_p,D-Xylose
3hcinnm_c,3-hydroxycinnamic acid
inost_p,Myo-Inositol
pppn_c,Phenylpropanoate
ocdca_p,Octadecanoate (n-C18:0)
dtdp4aaddg_c,"DTDP-4-acetamido-4,6-dideoxy-D-galactose"
malthx_c,Maltohexaose
maltpt_c,Maltopentaose
g3ps_e,Glycerophosphoserine
acon_T_c,Trans-Aconitate
3gmp_p,Guanosine 3  phosphate C10H12N5O8P
maltttr_c,Maltotetraose
bbtcoa_c,Gamma-butyrobetainyl-CoA
duri_p,Deoxyuridine
anhgm4p_p,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide
ddca_e,Dodecanoate (n-C12:0)
udpLa4n_c,Uridine 5''-diphospho-{beta}-4-deoxy-4-amino-L-arabinose
tartr__L_p,L-tartrate
octeACP_c,Cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)
26dap__M_p,"Meso-2,6-Diaminoheptanedioate"
hacolipa_e,Hepta-acylated core oligosaccharide lipid A (E. coli)
gtspmd_c,Glutathionylspermidine
o16aund_c,O16 antigen undecaprenyl diphosphate
o16aund_p,O16 antigen undecaprenyl diphosphate
3hhexACP_c,(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]
adocbl_p,Adenosylcobalamin
acolipa_p,4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A
butso3_p,Butanesulfonate
cys__L_p,L-Cysteine
cpgn_un_c,Coprogen unloaded (no Fe(III))
ps161_c,"Phosphatidylserine (dihexadec-9-enoyl, n-C16:1)"
t3c5ddeceACP_c,Trans-3-cis-5-dodecenoyl-[acyl-carrier protein]
ps120_c,"Phosphatidylserine (didodecanoyl, n-C12:0)"
arbtn_fe3_p,Aerobactin
12dgr161_p,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)"
progly_p,L-Prolinylglycine
orn_p,Ornithine
pa181_p,"1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate"
12dgr120_p,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)"
asp__L_p,L-Aspartate
pydam_p,Pyridoxamine
2agpe160_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
crn_p,L-Carnitine
2agpg140_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)
1hdecg3p_p,1-hexadecanoyl-sn-glycerol 3-phosphate
btn_p,Biotin
pro__L_p,L-Proline
ttdcap_c,Tetradecanoyl-phosphate (n-C14:0)
mal__D_p,D-Malate
co2_p,CO2 CO2
5dglcn_p,5-Dehydro-D-gluconate
fe3_c,Iron (Fe3+)
arbt_e,Arbutin C12H16O7
ch4_p,Methane
fad_e,Flavin adenine dinucleotide oxidized
fmn_p,FMN C17H19N4O9P
dhptdd_c,"3-hydroxy-5-phosphonooxypentane-2,4-dione"
quin_c,Quinate
sel_p,Selenate
epmeACP_c,Enoylpimeloyl-[acyl-carrier protein] methyl ester
dtgcl_c,2-hydroxyethyldisulfide
23dappa_c,"2,3-diaminopropionate"
cholate_p,Cholate c
mococdp_c,Molybdopterin cytosine dinucleotide
doxrbcn_p,Doxorubicin
dopa_p,Dopamine
ala__L_c,L-Alanine
g3pc_p,Sn-Glycero-3-phosphocholine
hco3_c,Bicarbonate
alaala_c,D-Alanyl-D-alanine
anhgm3p_p,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide
spmd_p,Spermidine
phe__L_c,L-Phenylalanine
anhm4p_c,"1,6-anhydrous-N-Acetylmuramyl-tetrapeptide"
15dap_c,"1,5-Diaminopentane"
ni2_p,Nickel
ser__D_c,D-Serine
udcpp_p,Undecaprenyl phosphate
mlthf_c,"5,10-Methylenetetrahydrofolate"
xmp_p,Xanthosine 5'-phosphate
mg2_p,Magnesium
pacald_e,Phenylacetaldehyde
anhgm_c,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid
frdp_c,Farnesyl diphosphate
cyan_p,Hydrogen cyanide
pant__R_c,(R)-Pantoate
LalaDgluMdapDala_p,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine"
mercppyr_c,Mercaptopyruvate
garagund_c,Glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
glcur_c,D-Glucuronate
udpg_p,UDPglucose
inost_e,Myo-Inositol
fe3dhbzs_e,"Ferric 2,3-dihydroxybenzoylserine"
cytd_e,Cytidine
o16a3und_p,(O16 antigen)x3 undecaprenyl diphosphate
sulfac_p,Sulfoacetate
2dmmql8_c,2-Demethylmenaquinol 8
t3c7mrseACP_c,Trans-3-cis-7-myristoleoyl-[acyl-carrier protein]
g3pe_c,Sn-Glycero-3-phosphoethanolamine
cu2_c,Copper
t3c11vaceACP_c,Trans-3-cis-11-vacceoyl-[acyl-carrier protein]
tcynt_e,Thiocyanate
glyclt_e,Glycolate C2H3O3
pg180_c,"Phosphatidylglycerol (dioctadecanoyl, n-C18:0)"
12ppd__S_e,"(S)-Propane-1,2-diol"
14glucan_c,"1,4-alpha-D-glucan"
cdpdodec11eg_c,"CDP-1,2-dioctadec-11-enoylglycerol"
1pyr5c_c,1-Pyrroline-5-carboxylate
1agpe160_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
ppa_e,Propionate (n-C3:0)
pgp120_p,"Phosphatidylglycerophosphate (didodecanoyl, n-C12:0)"
chtbs6p_c,Diacetylchitobiose-6-phosphate
1agpg180_p,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)
acmum_p,N-Acetylmuramate
quin_p,Quinate
malttr_p,Maltotriose C18H32O16
psclys_c,Psicoselysine
slnt_e,Selenite
colipap_e,Core oligosaccharide lipid A diphosphate
acald_p,Acetaldehyde
moadcoo_c,MoaD Protein with carboxylate
gly_p,Glycine
dhgly_c,Dehydroglycine
lipopb_c,Lipoate (protein bound)
2ippm_c,2-Isopropylmaleate
ser__D_p,D-Serine
f_c,Fluoride
o2s_p,Superoxide anion
23cump_p,"2',3'-Cyclic UMP"
3psme_c,5-O-(1-Carboxyvinyl)-3-phosphoshikimate
imacp_c,3-(Imidazol-4-yl)-2-oxopropyl phosphate
3c2hmp_c,3-Carboxy-2-hydroxy-4-methylpentanoate
xan_e,Xanthine
udpLa4fn_c,Uridine 5''-diphospho-{beta}-4-deoxy-4-formamido-L-arabinose
pser__L_c,O-Phospho-L-serine
uacgam_e,UDP-N-acetyl-D-glucosamine
ttdcea_e,Tetradecenoate (n-C14:1)
4abut_c,4-Aminobutanoate
tma_c,Trimethylamine
ocdcaACP_c,Octadecanoyl-ACP (n-C18:0ACP)
pg160_c,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)"
gmp_c,GMP C10H12N5O8P
12dgr120_c,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)"
uama_c,UDP-N-acetylmuramoyl-L-alanine
trp__L_p,L-Tryptophan
gua_c,Guanine
lcts_p,Lactose C12H22O11
pa160_p,"1,2-dihexadecanoyl-sn-glycerol 3-phosphate"
udcpdp_c,Undecaprenyl diphosphate
2odec11eg3p_c,2-octadec-11-enoyl-sn-glycerol 3-phosphate
fruur_e,D-Fructuronate
glu__D_c,D-Glutamate
frulys_p,Fructoselysine
12ppd__R_p,"(R)-Propane-1,2-diol"
f6p_p,D-Fructose 6-phosphate
3ophb_c,3-Octaprenyl-4-hydroxybenzoate
kdo2lipid4_e,KDO(2)-lipid IV(A)
pmtcoa_c,Palmitoyl-CoA (n-C16:0CoA)
dump_e,DUMP C9H11N2O8P
3dhsk_c,3-Dehydroshikimate
3amp_p,3  AMP C10H12N5O7P
acACP_c,Acetyl-ACP
kphphhlipa_c,Kdo-phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA
5pg35pg_c,5-Phosphoguanylyl(3->5)guanosine
urate_p,Urate C5H4N4O3
udpgalfur_c,"UDP-D-galacto-1,4-furanose"
h2o_c,H2O H2O
gagicolipa_c,Galactosyl-glucosyl-inner core oligosaccharide lipid A
feenter_p,Fe-enterobactin
hg2_p,Mercury  charged 2  Hg
ala__D_c,D-Alanine
glcr_p,D-Glucarate
alac__S_c,(S)-2-Acetolactate
2amsa_c,2-Aminomalonate semialdehyde
dsbaox_p,Periplasmic protein disulfide isomerase I (oxidized)
tre_p,Trehalose
pa161_p,"1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate"
dcdp_c,DCDP C9H12N3O10P2
imp_e,IMP C10H11N4O8P
db4p_c,"3,4-dihydroxy-2-butanone 4-phosphate"
ca2_c,Calcium
feoxam_un_p,Ferroxamine minus Fe(3)
galctn__L_p,L-Galactonate
nmn_c,NMN C11H14N2O8P
gal1p_e,Alpha-D-Galactose 1-phosphate
gly_c,Glycine
