gene,name
b2558,mltF
b2168,fruK
b2813,mltA
b3092,uxaC
b3371,frlB
b3875,ompL
b4392,slt
b2701,mltB
b2963,mltC
b4474,frlC
b0957,ompA
b3374,frlD
b2919,scpB
b3370,frlA
b1319,ompG
b4321,gntP
b0875,aqpZ
b0260,mmuP
b2917,scpA
b3599,mtlA
b1395,paaH
b2167,fruA
b4040,ubiA
b4322,uxuA
b2169,fruB
b0784,moaD
b0353,mhpT
b1232,purU
b0126,can
b0339,cynT
b0261,mmuM
b3633,waaA
b3624,waaZ
b2801,fucP
b3917,sbp
b0428,cyoE
b3630,waaP
b1611,fumC
b3625,waaY
b3621,waaC
b0764,modB
b1612,fumA
b3620,waaF
b0621,dcuC
b3632,waaQ
b3623,waaU
b2423,cysW
b0765,modC
b3730,glmU
b2424,cysU
b2425,cysP
b2104,thiM
b1002,agp
b2388,glk
b0763,modA
b2422,cysA
b3789,rffH
b2877,mocA
b0394,mak
b2039,rfbA
b2020,hisD
b2022,hisB
b0134,panB
b0009,mog
b2519,pbpC
b1069,murJ
b0154,hemL
b2514,hisS
b2533,suhB
b2309,hisJ
b0112,aroP
b0785,moaE
b0826,moeB
b1008,rutE
b0349,mhpC
b4055,aphA
b3805,hemC
b0529,folD
b4041,plsB
b3941,metF
b2418,pdxK
b2103,thiD
b1059,solA
b3451,ugpE
b3996,nudC
b3824,rhtB
b3450,ugpC
b0813,rhtA
b0352,mhpE
b2411,ligA
b3452,ugpA
b1109,ndh
b3453,ugpB
b2288,nuoA
b0142,folK
b3608,gpsA
b0508,hyi
b3426,glpD
b0003,thrB
b4013,metA
b2278,nuoL
b2277,nuoM
b2241,glpA
b2287,nuoB
b2284,nuoF
b2021,hisC
b2243,glpC
b2282,nuoH
b2868,xdhC
b2286,nuoC
b2242,glpB
b2279,nuoK
b2866,xdhA
b0243,proA
b2867,xdhB
b2280,nuoJ
b0678,nagB
b0974,hyaC
b1852,zwf
b2276,nuoN
b3128,garD
b2283,nuoG
b2285,nuoE
b2995,hybB
b2996,hybA
b2281,nuoI
b4358,lgoD
b2615,nadK
b0973,hyaB
b2997,hybO
b2994,hybC
b0972,hyaA
b4478,dgoD
b2530,iscS
b2529,iscU
b4356,lgoT
b3807,cyaY
b3028,mdaB
b3691,dgoT
b1740,nadE
b1603,pntA
b2528,iscA
b3127,garP
b1136,icd
b2789,gudP
b2265,menF
b1602,pntB
b2045,wcaK
b3962,sthA
b0931,pncB
b1186,nhaB
b0593,entC
b0595,entB
b4015,aceA
b0019,nhaA
b0757,galK
b2518,ndk
b0451,amtB
b4267,idnD
b2025,hisF
b2023,hisH
b0756,galM
b1262,trpC
b2710,norV
b4119,melA
b2711,norW
b3770,ilvE
b0026,ileS
b3628,waaB
b3476,nikA
b0401,brnQ
b2093,gatB
b2508,guaB
b3477,nikB
b3478,nikC
b3480,nikE
b2094,gatA
b3479,nikD
b2092,gatC
b4390,nadR
b3265,acrE
b3266,acrF
b3093,exuT
b0639,nadD
b0751,pnuC
b3161,mtr
b1236,galU
b1768,pncA
b4485,ytfR
b1991,cobT
b3679,yidK
b4231,yjfF
b0109,nadC
b4230,ytfT
b2889,idi
b2148,mglC
b0073,leuB
b1223,narK
b2150,mglB
b3367,nirC
b2149,mglA
b0072,leuC
b0071,leuD
b4227,ytfQ
b0074,leuA
b2203,napB
b2943,galP
b2202,napC
b2205,napG
b0918,kdsB
b3198,kdsC
b2206,napA
b0160,dgt
b2204,napH
b1225,narH
b1215,kdsA
b4196,ulaD
b3581,sgbH
b0698,kdpA
b1466,narW
b1465,narV
b1467,narY
b0696,kdpC
b3366,nirD
b0697,kdpB
b4513,kdpF
b1468,narZ
b1226,narJ
b3365,nirB
b1224,narG
b4071,nrfB
b1227,narI
b1363,trkG
b4072,nrfC
b3849,trkH
b1469,narU
b3290,trkA
b4073,nrfD
b2552,hmp
b2744,umpG
b4070,nrfA
b1291,sapD
b2027,wzzB
b1250,kch
b4374,yjjG
b2035,wbbH
b2291,yfbR
b2033,wbbJ
b0480,ushA
b2037,wzxB
b2034,wbbI
b2032,wbbK
b4161,rsgA
b2751,cysN
b0902,pflA
b2752,cysD
b2705,srlD
b0650,hscC
b4394,yjjX
b0980,appA
b2702,srlA
b2781,mazG
b2579,grcA
b2704,srlB
b2703,srlE
b3114,tdcE
b2472,dapE
b2954,rdgB
b0903,pflB
b0273,argF
b1759,nudG
b3591,selA
b1764,selD
